name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,zipcode,2020_Number_of_Units,2020_Occupied_Units,2020_Vacant_Units,2020_Median_Rooms,2020_Median_Value,2020_Median_Monthly Costs,2020_Median_Rent,2020_Owner_Occupied_Units,2015_Number_of_Units,2015_Occupied_Units,2015_Vacant_Units,2015_Median_Rooms,2015_Median_Value,2015_Median_Monthly Costs,2015_Median_Rent,2015_Owner_Occupied_Units,2020_Median_Household_Income,2020_Median_Family_Income,2015_Median_Household_Income,2015_Median_Family_Income
Secluded Nature Lover's Retreat,92261675,Ginger,,Rocky Fork-Blacklick,40.09805,-82.87542,Entire home/apt,225,2,52,2022-06-12,0.85,1,58,14,,43081,"27,357","25,850","1,507",5.9,"218,200","1,599","1,161","16,565","24,515","23,195","1,320",5.9,"176,600","1,552",994,"14,504","83,296","96,364","72,250","88,824"
"Iuka I, 4BR, 2.5B, Parking, 1600 sqft RoweRentals",27439453,Ingrid & Mike,,Near North/University,40.00633,-82.99825,Entire home/apt,159,1,173,2022-08-11,2.82,12,304,37,2021-3070,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Clean & Tranquil Home Away From Home,35426465,Karen,,Clintonville,40.03309,-83.02207,Entire home/apt,220,2,136,2022-09-05,2.41,2,182,30,2022-1141,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
Short North/Italian Village Townhome,90791703,Jim,,Near North/University,39.98013,-82.99965,Entire home/apt,233,1,226,2022-09-18,3.7,1,83,47,2019-2113,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Art at 185 German Village,22063803,Marty,,Near South,39.94573,-82.99216,Entire home/apt,81,1,443,2022-09-17,7.26,1,291,119,2019-2013,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
German Village - Beakerloo Apt A,42309439,Lucy & Brent,,Near South,39.94445,-82.993,Entire home/apt,101,2,146,2022-09-19,2.43,3,286,17,2019-1429,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Great Space for Long Term Guest,29129391,Jason,,Near East,39.97286,-82.95772,Private room,58,1,10,2022-08-02,0.18,2,139,3,2019-1818,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
Historic Townhouse In the Heart of the Short North,149748979,David,,Near North/University,39.97951126,-83.00197601,Entire home/apt,300,1,92,2022-09-11,1.51,1,94,24,2022-1046,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Short North 4BR 2 Bath FREE PARKING + WiFi,10210173,Justin,,Near North/University,39.98072,-83.01231,Entire home/apt,169,3,161,2022-08-30,2.69,1,235,31,2019-2726,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
One Bedroom w/private bath close to everything!,141051884,Gail,,Southeast,39.86541,-82.86979,Private room,40,1,88,2020-02-15,1.44,1,263,0,,43125,"6,104","5,948",156,5.3,"167,600","1,416",971,"3,309","5,947","5,403",544,5.7,"128,800","1,319",843,"3,362","68,103","84,047","60,275","65,542"
Sophia's Sunny Place Columbus Ohio,151456682,Sophia,,West Olentangy,40.01837,-83.04442,Entire home/apt,224,2,140,2022-09-18,2.33,1,327,42,2019-1993,43221,"14,927","14,190",737,6.3,"306,300","2,055","1,244","10,010","13,903","13,150",753,6.6,"239,600","1,816","1,018","9,659","96,233","119,688","85,095","105,450"
Huge Downtown Apartment with Free Parking,22992627,Joseph,,Downtown,39.95556,-82.99958,Entire home/apt,97,5,130,2022-09-04,2.15,2,147,24,2019-2160,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Urban Brownstone where OSU meets the Short North,11478396,Richard,,Near North/University,39.98857,-83.00744,Entire home/apt,91,2,94,2022-06-25,1.57,1,64,18,2019-2321,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
The High Street Hideaway,66971595,Laura,,Near North/University,39.97377,-83.00442,Entire home/apt,75,28,374,2022-08-07,6.18,1,19,28,2019-1808,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Cozy Apartment in the Heart of Grandview / OSU,4418841,Anton,,West Olentangy,39.99567,-83.03693,Entire home/apt,95,30,66,2022-08-06,1.1,3,278,4,2019-1893,43212,"12,485","11,712",773,4.4,"381,300","2,205","1,151","3,950","11,156","9,693","1,463",4.5,"269,500","1,879",861,"3,749","66,326","144,167","58,080","104,098"
Luxury three story apartment in SHORT NORTH,152060241,Milana,,Near North/University,39.97924,-83.00278,Entire home/apt,264,1,86,2022-08-30,1.43,1,166,10,2020-1295,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Tiny House! Victorian Village- Walk to OSU!,119188865,Bridgid,,Near North/University,39.98709,-83.01623,Entire home/apt,76,3,110,2022-08-08,1.84,2,345,17,2019-2090,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Newly Renovated Space,17314325,Terry,,Near South,39.93022,-82.99729,Private room,45,30,32,2019-11-09,0.54,1,180,0,,43207,"20,799","18,656","2,143",5.4,"102,700","1,087",908,"11,435","20,172","17,185","2,987",5.3,"84,600","1,039",821,"9,933","50,582","62,298","38,842","45,006"
Comfy & Cozy 1 Bedroom,155992052,Rob & Demi,,Northland,40.07634,-82.97112,Private room,55,2,162,2022-09-04,3.43,2,176,14,2019-1889,43229,"22,593","21,343","1,250",5.0,"143,000","1,232",879,"8,495","22,243","20,011","2,232",5.1,"120,000","1,201",763,"8,149","44,804","51,324","38,004","45,185"
short north harrison haus,11930197,Scott,,Near North/University,39.98181,-83.01309,Entire home/apt,595,1,304,2022-09-18,5.11,1,270,49,2021-2387,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
"Family friendly, clean, restful stay",114325185,Collin,,Far South,39.88574,-82.98938,Private room,38,14,10,2020-04-03,0.2,1,0,0,2019-2291,43207,"20,799","18,656","2,143",5.4,"102,700","1,087",908,"11,435","20,172","17,185","2,987",5.3,"84,600","1,039",821,"9,933","50,582","62,298","38,842","45,006"
Micro Studio Chic,103700433,Erin,,Downtown,39.95833,-82.99418,Entire home/apt,100,1,157,2022-09-11,2.67,3,47,25,2019-2197,43216,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Private room in eclectic home near OSU/Short North,24519205,Darrin,,Near North/University,39.99222,-83.01241,Private room,56,1,118,2022-08-19,2.01,3,353,60,2019-1234,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Sone's Place  Room C,141210967,Grace,,Northland,40.09726,-82.94895,Private room,40,14,25,2022-08-31,0.43,3,358,1,,43231,"8,743","8,243",500,5.3,"156,500","1,300",981,"4,227","8,627","7,812",815,5.3,"126,800","1,332",847,"4,202","57,348","65,616","46,974","56,197"
Columbus Square place,159965865,Trésor,,Northland,40.08661,-82.94307,Private room,35,5,19,2021-10-01,0.33,1,204,1,,43231,"8,743","8,243",500,5.3,"156,500","1,300",981,"4,227","8,627","7,812",815,5.3,"126,800","1,332",847,"4,202","57,348","65,616","46,974","56,197"
Weinland Park / Short North Duplex,160768602,Benjamin,,Near North/University,39.98962,-82.99682,Entire home/apt,125,1,590,2022-09-08,10.23,2,321,122,2021-2522,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
"Cozy, Convenient Short North/Italian Village 2BR",14037717,Brandy,,Near North/University,39.98212,-82.99892,Entire home/apt,139,2,262,2022-09-18,4.56,2,72,54,2021-2410,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Spacious bedroom. Monthly bookings welcomed.,88006238,Robert And Bonnie,,Near East,39.97426,-82.94769,Private room,30,28,51,2022-07-30,0.92,4,93,7,2019-1294,43219,"12,739","11,479","1,260",5.2,"114,500","1,214",960,"5,158","12,401","10,867","1,534",5.1,"82,800","1,062",795,"4,936","40,172","48,690","33,473","40,010"
⭐️Short North area⭐️ Easy parking. Clean& central.,160931077,Joy,,Near North/University,39.9915,-82.99934,Entire home/apt,136,1,276,2022-09-18,4.86,3,162,72,2019-1504,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
"Custom Home Near Short North, OSU & Downtown",10828872,Logan,,Near North/University,39.98776,-83.00059,Entire home/apt,975,2,47,2021-11-21,0.81,1,21,2,2019-1853,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
The Legacy House - Your Home Away From Home,101833432,James,,South Linden,39.98186,-82.9911,Entire home/apt,139,30,114,2022-09-19,2.06,2,351,23,2019-1521,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Must Love Dogs... and backyard cocktails,17170971,Claire,,Near South,39.93907,-82.98237,Private room,25,4,2,2021-10-17,0.15,1,0,1,,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Charming Clintonville Cottage,17639670,Elisabeth,,Clintonville,40.02636,-83.01812,Private room,45,1,55,2020-03-17,0.97,1,1,0,2019-2139,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Private queen ensuite 3 - N. Campus,2350409,Edward,,Near North/University,40.01052,-83.00813,Private room,36,3,23,2022-07-15,0.44,3,282,14,2019-1344,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Beautiful renovated ranch in quiet neighborhood.,33532441,Alex,,Eastmoor/Walnut Ridge,39.94043,-82.91197,Entire home/apt,130,2,111,2022-08-28,1.95,4,324,24,2019-1736,43227,"10,659","9,751",908,5.3,"86,300",922,898,"4,742","10,291","8,841","1,450",5.2,"80,300","1,020",777,"4,483","40,353","46,072","34,483","38,807"
Housepitality - The Blue Beechwald Bungalow,26958698,Benjamin,,Clintonville,40.07422,-83.00903,Entire home/apt,158,30,191,2022-09-13,3.35,107,178,20,2021-2697,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
Close to Campus | Free Off Street Parking,8963103,Sarah,,West Olentangy,39.98693,-83.03458,Entire home/apt,100,1,293,2022-09-18,5.19,33,159,61,2021-2928,43212,"12,485","11,712",773,4.4,"381,300","2,205","1,151","3,950","11,156","9,693","1,463",4.5,"269,500","1,879",861,"3,749","66,326","144,167","58,080","104,098"
Priv Room in a Cozy Home at the heart of Columbus,47742744,Ilke,,Near North/University,39.97499,-83.01021,Private room,45,31,14,2018-05-30,0.25,1,0,0,,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Private Carriage House - Garage Parking,31798233,Sam,,Near North/University,39.98522,-83.00095,Entire home/apt,129,2,208,2022-09-04,3.78,4,233,47,2021-3252,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Colorful Restored Red Brick with Backyard Patio,14725198,Rachael,,Clintonville,40.03127,-83.01181,Entire home/apt,176,2,189,2022-09-02,3.36,1,290,25,2019-1565,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
Tiny Blue House! Close to Short North & Downtown!,119188865,Bridgid,,Near North/University,39.98344,-82.99808,Entire home/apt,140,4,105,2022-09-11,1.9,2,325,29,2019-2087,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Italian Village Carriage House + Parking,52646849,Rob,,Near North/University,39.98253,-82.99997,Entire home/apt,129,2,182,2022-09-18,4.32,1,290,71,2019-1176,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Short North One Bed w/Off-street Parking,71666929,August,,Near North/University,39.98203,-83.00518,Entire home/apt,225,7,308,2022-08-31,5.52,3,332,14,2019-1961,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Olde Towne East/Children's Hospital Historic House,112151569,Brandon,,Near East,39.95526,-82.97619,Entire home/apt,105,1,236,2022-09-18,4.85,1,339,50,2019-1809,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Newly Renovated Short North Guesthouse,28782068,Scott,,Near North/University,39.98316,-83.002,Entire home/apt,95,2,291,2022-09-19,5.25,1,59,55,2021-3530,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
The White Brick Studio @ OSU & Short North,52174539,Kate & Nat,,Near North/University,39.99045,-83.01152,Entire home/apt,61,2,396,2022-09-15,7.23,25,172,52,2021-3229,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
SOHUD Treetop Townhouse (C),4723137,David,,Near North/University,40.01484,-83.00125,Entire home/apt,50,30,106,2022-04-08,1.91,3,18,1,2019-3030,43211,"10,296","8,714","1,582",5.2,"58,200",795,871,"3,464","10,527","8,079","2,448",5.3,"57,500",853,762,"3,022","28,610","32,010","23,710","25,253"
Brewery District Homestead,60592073,Hilary,,Near South,39.94771,-82.99866,Entire home/apt,185,2,207,2022-09-15,3.77,1,110,64,2019-1811,43216,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hip Storefront Condo in German Village,63781904,Morgan,,Near South,39.94004,-82.99059,Entire home/apt,253,2,155,2022-09-05,2.94,1,101,37,2019-2388,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Private Space - Minutes from Childrens Hospital,50481146,Gina,,Near South,39.95271,-82.97584,Entire home/apt,104,3,2,2022-09-05,1.3,2,359,2,,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
"Bright, Modern Townhome with Natural Light",94337607,Alezah,,Far North,40.11468,-82.92639,Entire home/apt,117,1,148,2022-09-18,3.42,9,323,68,,43081,"27,357","25,850","1,507",5.9,"218,200","1,599","1,161","16,565","24,515","23,195","1,320",5.9,"176,600","1,552",994,"14,504","83,296","96,364","72,250","88,824"
Artistic Olde Towne East Efficiency Apartment,45680657,Kendric,,Near East,39.96008,-82.97816,Entire home/apt,60,1,564,2022-08-16,10.35,2,58,125,2019-1317,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Valleyview Suite,180917362,Rebecca,,Hilltop,39.95962,-83.08804,Private room,55,2,173,2022-09-10,3.19,1,89,44,2021-2902,43204,"19,186","17,220","1,966",5.4,"117,300","1,102",935,"8,651","19,255","15,560","3,695",5.5,"98,300","1,087",855,"7,550","48,770","55,405","40,729","45,090"
Oasis in the City (Near Bexley),117004922,Nick And Sonja,,Eastmoor/Walnut Ridge,39.94418,-82.914,Entire home/apt,120,2,94,2022-08-15,1.93,1,171,24,2019-1486,43227,"10,659","9,751",908,5.3,"86,300",922,898,"4,742","10,291","8,841","1,450",5.2,"80,300","1,020",777,"4,483","40,353","46,072","34,483","38,807"
The Short North Nest,30241348,David And Ashley,,Near North/University,39.974667,-83.003471,Entire home/apt,157,2,184,2022-09-04,3.48,2,138,56,2019-3093,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Clintonville Contemporary 3 Bedroom Home,74477532,Marge,,Clintonville,40.034386,-83.012741,Entire home/apt,164,2,59,2022-09-18,1.11,1,105,22,2019-1242,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
Short North / Weinland Park Duplex,160768602,Benjamin,,Near North/University,39.98822,-82.99706,Entire home/apt,133,1,567,2022-09-14,10.92,2,310,131,2021-2524,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
2 Bedroom Suite Retreat,139974150,Evette,,West Olentangy,39.99757,-83.07628,Private room,169,1,22,2022-09-03,0.42,3,88,6,2019-3359,43221,"14,927","14,190",737,6.3,"306,300","2,055","1,244","10,010","13,903","13,150",753,6.6,"239,600","1,816","1,018","9,659","96,233","119,688","85,095","105,450"
North Campus Pad - Ohio State,42426080,Seth,,Near North/University,40.01352,-83.00847,Entire home/apt,206,1,39,2022-09-11,0.73,1,170,25,2022-1418,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
German Village Weekend Retreat on Schiller Park,43125083,Jerry,,Near South,39.94319,-82.99137,Entire home/apt,450,2,23,2022-06-19,0.44,1,58,4,2019-1713,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
OSU ROOM,54100341,Fin,,Near North/University,40.01315,-83.00093,Shared room,30,30,14,2022-09-04,0.26,6,150,1,,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Serene Retreat steps away from Park,143070772,Helen,,Clintonville,40.03959,-83.01243,Entire home/apt,149,2,98,2022-09-18,1.85,1,324,31,2019-1247,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
Flowing King Lincoln Home Close to Downtown,165232727,McDaniel Management,,Near East,39.96936,-82.96701,Entire home/apt,237,2,164,2022-08-06,3.16,4,51,28,2021-2858,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
Updated Condo in the middle of all entertainment 🎉,25441700,Nikia,,Near North/University,39.98256,-83.00362,Entire home/apt,106,1,64,2022-08-18,4.17,1,89,46,,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Quiet Neighborhood | 2nd fl.,8963103,Sarah,,West Olentangy,39.98745,-83.03508,Entire home/apt,107,1,207,2022-09-04,3.9,33,160,39,2021-2927,43212,"12,485","11,712",773,4.4,"381,300","2,205","1,151","3,950","11,156","9,693","1,463",4.5,"269,500","1,879",861,"3,749","66,326","144,167","58,080","104,098"
German Village Getaway!,89696876,Eric,,Near South,39.951,-82.98683,Entire home/apt,150,1,311,2022-08-23,5.86,3,167,48,2019-1887,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
"Safe, quite and convenient to stay in Columbus",189102967,Yohans,,Northeast,40.02753,-82.90998,Private room,150,30,0,,,1,0,0,,43219,"12,739","11,479","1,260",5.2,"114,500","1,214",960,"5,158","12,401","10,867","1,534",5.1,"82,800","1,062",795,"4,936","40,172","48,690","33,473","40,010"
Blue Silk House (parking- families- business),40592264,Meri,,North Linden,40.04448,-82.99409,Entire home/apt,121,1,142,2022-09-05,2.72,1,289,40,2019-1795,43224,"18,950","17,585","1,365",5.0,"103,200",983,827,"8,324","18,876","16,274","2,602",5.0,"86,500",993,678,"7,866","39,038","45,010","33,487","39,337"
Top Schumacher Place Stay,32921451,Zachary,,Near North/University,39.98654,-83.00233,Entire home/apt,49,1,0,,,1,0,0,,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
The Historic Isabelle Charming,191895220,Carrie,,Far West,40.03427,-83.15717,Entire home/apt,174,1,151,2022-09-18,3.1,1,342,36,,43026,"24,669","24,166",503,6.1,"234,700","1,774","1,166","16,882","22,715","21,992",723,6.0,"184,200","1,628",856,"16,030","93,036","107,708","77,013","95,009"
“3 Private Queen Bedrooms” Columbus Home,191916098,Jami,,Near South,39.94922,-82.96008,Entire home/apt,200,1,153,2022-09-18,2.93,3,354,35,2019-2112,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Bright Italian Village/Short North Urban Oasis!,193350430,Lindsey,,Near North/University,39.98266,-82.99811,Entire home/apt,120,2,144,2022-09-05,2.76,2,84,33,2019-2187,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Historic Oak Street Apartment,140728885,Rick,,Downtown,39.96197,-82.98486,Entire home/apt,85,2,189,2022-09-18,3.62,1,237,43,2019-1798,43216,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Comfortable private basement in Northern Columbus,3217245,Brandyn,,Northland,40.09387,-82.95836,Private room,100,1,1,2019-09-29,0.03,1,0,0,2019-2354,43229,"22,593","21,343","1,250",5.0,"143,000","1,232",879,"8,495","22,243","20,011","2,232",5.1,"120,000","1,201",763,"8,149","44,804","51,324","38,004","45,185"
Eclectic Carriage House in a Vibrant Neighborhood,194281106,Nicole,,Near North/University,39.9823,-83.00838,Entire home/apt,102,2,189,2022-09-18,3.63,23,29,37,2021-3043,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Central Short North Apt. on High St. With Parking,23877472,Robert,,Near North/University,39.97729,-83.0047,Entire home/apt,155,2,105,2022-09-04,2.02,1,93,17,2019-1123,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
The Level Two Studio @ OSU & Short North,52174539,Kate & Nat,,Near North/University,39.98986,-83.01073,Entire home/apt,61,2,321,2022-09-09,6.18,25,154,74,2021-3334,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
The Olde Towne 2BR Duplex,51959867,Stephen,,Near East,39.96285,-82.972,Entire home/apt,100,4,31,2022-09-18,0.63,1,257,9,,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
"Master Suite In Gahanna, Near Columbus & Intel",15683090,John Michael,,Northeast,40.02028,-82.86341,Private room,129,3,0,,,3,88,0,,43230,"25,484","24,546",938,5.8,"204,000","1,542","1,140","14,855","22,879","22,120",759,6.1,"169,200","1,497",985,"14,496","75,960","95,989","70,618","87,964"
Fireplace Room/OSU/Short North/Free Pkg.,37425943,Steve,,Near North/University,39.98729,-83.01337,Private room,75,1,30,2022-09-04,0.59,2,341,12,2021-3511,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Private Room; Short North/OSU; Free Parking,37425943,Steve,,Near North/University,39.98881,-83.01169,Private room,65,1,41,2022-08-28,0.81,2,344,14,2021-3511,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
"A peaceful, clean, updated home– 1/3 Mile to OSU!",77531450,Tucker,,Near North/University,40.00878143,-83.00556946,Entire home/apt,148,2,61,2022-09-04,1.21,1,165,4,2022-1900,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Columbus Clean  Cozy Close to Everything sleeps 12,178521644,Calvin&Tonjia,,North Linden,40.01694,-82.98537,Entire home/apt,154,2,106,2022-09-04,2.21,1,352,20,2019-1854,43211,"10,296","8,714","1,582",5.2,"58,200",795,871,"3,464","10,527","8,079","2,448",5.3,"57,500",853,762,"3,022","28,610","32,010","23,710","25,253"
