"Label (Grouping)","ZCTA5 43002!!Total!!Estimate","ZCTA5 43002!!Median income (dollars)!!Estimate","ZCTA5 43004!!Total!!Estimate","ZCTA5 43004!!Median income (dollars)!!Estimate","ZCTA5 43016!!Total!!Estimate","ZCTA5 43016!!Median income (dollars)!!Estimate","ZCTA5 43017!!Total!!Estimate","ZCTA5 43017!!Median income (dollars)!!Estimate","ZCTA5 43026!!Total!!Estimate","ZCTA5 43026!!Median income (dollars)!!Estimate","ZCTA5 43031!!Total!!Estimate","ZCTA5 43031!!Median income (dollars)!!Estimate","ZCTA5 43035!!Total!!Estimate","ZCTA5 43035!!Median income (dollars)!!Estimate","ZCTA5 43054!!Total!!Estimate","ZCTA5 43054!!Median income (dollars)!!Estimate","ZCTA5 43062!!Total!!Estimate","ZCTA5 43062!!Median income (dollars)!!Estimate","ZCTA5 43064!!Total!!Estimate","ZCTA5 43064!!Median income (dollars)!!Estimate","ZCTA5 43065!!Total!!Estimate","ZCTA5 43065!!Median income (dollars)!!Estimate","ZCTA5 43068!!Total!!Estimate","ZCTA5 43068!!Median income (dollars)!!Estimate","ZCTA5 43081!!Total!!Estimate","ZCTA5 43081!!Median income (dollars)!!Estimate","ZCTA5 43085!!Total!!Estimate","ZCTA5 43085!!Median income (dollars)!!Estimate","ZCTA5 43109!!Total!!Estimate","ZCTA5 43109!!Median income (dollars)!!Estimate","ZCTA5 43110!!Total!!Estimate","ZCTA5 43110!!Median income (dollars)!!Estimate","ZCTA5 43119!!Total!!Estimate","ZCTA5 43119!!Median income (dollars)!!Estimate","ZCTA5 43123!!Total!!Estimate","ZCTA5 43123!!Median income (dollars)!!Estimate","ZCTA5 43125!!Total!!Estimate","ZCTA5 43125!!Median income (dollars)!!Estimate","ZCTA5 43126!!Total!!Estimate","ZCTA5 43126!!Median income (dollars)!!Estimate","ZCTA5 43137!!Total!!Estimate","ZCTA5 43137!!Median income (dollars)!!Estimate","ZCTA5 43140!!Total!!Estimate","ZCTA5 43140!!Median income (dollars)!!Estimate","ZCTA5 43146!!Total!!Estimate","ZCTA5 43146!!Median income (dollars)!!Estimate","ZCTA5 43147!!Total!!Estimate","ZCTA5 43147!!Median income (dollars)!!Estimate","ZCTA5 43201!!Total!!Estimate","ZCTA5 43201!!Median income (dollars)!!Estimate","ZCTA5 43202!!Total!!Estimate","ZCTA5 43202!!Median income (dollars)!!Estimate","ZCTA5 43203!!Total!!Estimate","ZCTA5 43203!!Median income (dollars)!!Estimate","ZCTA5 43204!!Total!!Estimate","ZCTA5 43204!!Median income (dollars)!!Estimate","ZCTA5 43205!!Total!!Estimate","ZCTA5 43205!!Median income (dollars)!!Estimate","ZCTA5 43206!!Total!!Estimate","ZCTA5 43206!!Median income (dollars)!!Estimate","ZCTA5 43207!!Total!!Estimate","ZCTA5 43207!!Median income (dollars)!!Estimate","ZCTA5 43209!!Total!!Estimate","ZCTA5 43209!!Median income (dollars)!!Estimate","ZCTA5 43210!!Total!!Estimate","ZCTA5 43210!!Median income (dollars)!!Estimate","ZCTA5 43211!!Total!!Estimate","ZCTA5 43211!!Median income (dollars)!!Estimate","ZCTA5 43212!!Total!!Estimate","ZCTA5 43212!!Median income (dollars)!!Estimate","ZCTA5 43213!!Total!!Estimate","ZCTA5 43213!!Median income (dollars)!!Estimate","ZCTA5 43214!!Total!!Estimate","ZCTA5 43214!!Median income (dollars)!!Estimate","ZCTA5 43215!!Total!!Estimate","ZCTA5 43215!!Median income (dollars)!!Estimate","ZCTA5 43217!!Total!!Estimate","ZCTA5 43217!!Median income (dollars)!!Estimate","ZCTA5 43219!!Total!!Estimate","ZCTA5 43219!!Median income (dollars)!!Estimate","ZCTA5 43220!!Total!!Estimate","ZCTA5 43220!!Median income (dollars)!!Estimate","ZCTA5 43221!!Total!!Estimate","ZCTA5 43221!!Median income (dollars)!!Estimate","ZCTA5 43222!!Total!!Estimate","ZCTA5 43222!!Median income (dollars)!!Estimate","ZCTA5 43223!!Total!!Estimate","ZCTA5 43223!!Median income (dollars)!!Estimate","ZCTA5 43224!!Total!!Estimate","ZCTA5 43224!!Median income (dollars)!!Estimate","ZCTA5 43227!!Total!!Estimate","ZCTA5 43227!!Median income (dollars)!!Estimate","ZCTA5 43228!!Total!!Estimate","ZCTA5 43228!!Median income (dollars)!!Estimate","ZCTA5 43229!!Total!!Estimate","ZCTA5 43229!!Median income (dollars)!!Estimate","ZCTA5 43230!!Total!!Estimate","ZCTA5 43230!!Median income (dollars)!!Estimate","ZCTA5 43231!!Total!!Estimate","ZCTA5 43231!!Median income (dollars)!!Estimate","ZCTA5 43232!!Total!!Estimate","ZCTA5 43232!!Median income (dollars)!!Estimate","ZCTA5 43235!!Total!!Estimate","ZCTA5 43235!!Median income (dollars)!!Estimate"
"        Female householder, no husband present","4.6%","(X)","20.3%","(X)","8.9%","(X)","10.9%","(X)","14.5%","37,140","7.6%","(X)","13.6%","(X)","6.1%","66,361","14.7%","43,627","9.2%","(X)","8.5%","57,079","25.5%","41,155","16.4%","45,961","18.6%","41,000","5.9%","-","20.0%","31,733","20.1%","28,607","16.5%","37,919","12.1%","27,375","31.7%","(X)","11.2%","34,464","18.2%","31,364","14.5%","(X)","13.2%","(X)","30.0%","16,250","10.7%","31,979","55.9%","(X)","31.1%","25,213","52.8%","24,243","37.6%","26,807","32.1%","25,173","23.4%","35,990","13.3%","(X)","57.3%","17,290","11.3%","(X)","38.3%","25,829","17.0%","45,096","14.0%","(X)","48.6%","(X)","44.2%","27,410","9.4%","(X)","13.7%","53,153","42.1%","(X)","34.2%","17,470","35.9%","24,463","46.0%","25,258","28.8%","25,977","33.5%","23,948","16.5%","48,051","31.4%","36,335","41.6%","26,729","17.0%","43,850"
"        Male householder, no wife present","6.9%","(X)","3.0%","(X)","3.0%","(X)","3.8%","(X)","5.4%","50,858","2.1%","(X)","3.8%","(X)","4.2%","131,250","5.7%","70,125","4.5%","(X)","3.5%","79,148","9.6%","47,450","5.4%","59,636","4.6%","48,802","58.8%","53,750","4.1%","80,182","5.7%","51,250","7.2%","45,625","9.2%","35,804","1.9%","(X)","5.4%","93,309","8.6%","45,278","9.8%","(X)","3.1%","(X)","12.7%","40,150","10.1%","69,167","11.5%","(X)","8.8%","34,286","15.4%","35,861","12.1%","39,295","10.3%","35,882","7.7%","43,669","0.0%","(X)","13.8%","31,250","5.3%","(X)","7.0%","34,464","4.8%","68,611","7.5%","(X)","12.9%","(X)","10.0%","37,756","6.6%","(X)","5.5%","65,767","17.9%","(X)","12.0%","30,337","14.2%","33,549","8.5%","31,327","11.4%","31,536","9.7%","42,055","7.3%","56,449","9.4%","39,120","10.2%","34,754","4.2%","60,662"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","898","84,211","3,071","50,352","5,333","56,216","3,396","63,575","6,976","51,064","1,125","39,727","1,610","57,500","2,469","54,810","2,423","47,108","1,260","40,577","2,906","52,500","7,414","34,303","8,872","45,000","3,662","51,406","23","23,958","4,197","41,522","2,582","37,639","6,593","36,956","2,300","40,872","55","26,458","210","(X)","2,239","31,664","823","61,417","2,493","49,985","9,074","22,086","6,356","33,966","2,026","21,739","6,342","31,949","2,775","25,652","5,290","42,353","6,119","25,972","5,217","34,190","106","15,833","3,133","20,441","5,981","39,199","6,709","30,447","5,905","41,028","6,787","47,802","156","30,000","4,818","24,808","5,454","39,712","4,442","55,116","614","17,763","3,169","19,330","7,269","24,891","3,413","26,949","8,630","33,735","8,738","30,827","8,131","45,154","3,460","33,602","7,522","28,094","7,735","47,115"
"        Female householder","71.3%","(X)","60.6%","(X)","50.4%","47,644","56.6%","52,463","51.9%","43,895","47.4%","(X)","55.4%","54,044","55.7%","(X)","46.4%","36,779","55.6%","(X)","56.9%","(X)","55.0%","(X)","50.2%","42,540","60.3%","(X)","69.6%","(X)","51.5%","40,912","46.2%","(X)","60.7%","35,350","70.3%","40,305","61.8%","(X)","34.8%","(X)","50.1%","(X)","39.6%","(X)","56.6%","41,643","41.8%","16,855","43.5%","33,816","46.6%","25,660","48.8%","29,764","40.6%","21,116","54.4%","37,182","50.7%","22,899","57.1%","34,858","31.1%","13,750","60.2%","(X)","53.1%","(X)","55.1%","28,265","57.1%","(X)","39.3%","(X)","42.9%","26,058","53.2%","(X)","54.3%","36,748","58.4%","(X)","35.3%","17,075","48.8%","15,493","47.4%","22,410","54.4%","(X)","54.7%","30,503","52.4%","(X)","53.4%","39,915","64.1%","31,340","56.1%","26,046","57.2%","(X)"
"            Living alone","51.7%","(X)","52.3%","(X)","42.4%","44,518","45.0%","46,604","43.1%","38,543","41.2%","(X)","49.1%","49,667","43.8%","(X)","38.0%","33,988","47.1%","(X)","48.4%","(X)","45.5%","(X)","42.0%","40,630","49.5%","(X)","69.6%","(X)","40.8%","36,587","38.0%","(X)","49.8%","29,337","52.5%","33,020","60.0%","(X)","31.4%","(X)","44.9%","(X)","27.2%","(X)","47.6%","35,841","20.7%","15,382","23.4%","30,425","38.8%","16,919","38.8%","29,109","30.7%","15,532","40.9%","32,571","41.1%","18,563","49.4%","33,018","27.4%","12,750","52.2%","(X)","41.2%","(X)","46.8%","22,679","46.6%","(X)","29.7%","(X)","34.6%","19,868","46.4%","(X)","46.2%","35,200","50.1%","(X)","26.5%","15,725","38.3%","12,447","39.7%","20,147","49.6%","(X)","41.6%","25,674","45.8%","(X)","47.5%","36,047","55.5%","30,474","46.6%","21,832","47.7%","(X)"
"            Not living alone","19.6%","(X)","8.3%","(X)","8.0%","62,273","11.6%","85,742","8.8%","67,443","6.1%","(X)","6.3%","61,691","11.9%","(X)","8.4%","57,031","8.6%","(X)","8.5%","(X)","9.4%","(X)","8.3%","65,361","10.8%","(X)","0.0%","(X)","10.7%","42,318","8.2%","(X)","10.9%","67,917","17.7%","68,750","1.8%","(X)","3.3%","(X)","5.2%","(X)","12.4%","(X)","8.9%","114,563","21.1%","18,783","20.1%","38,828","7.8%","42,250","10.0%","33,150","9.9%","43,750","13.5%","62,188","9.6%","51,591","7.7%","49,213","3.8%","-","8.0%","(X)","11.9%","(X)","8.3%","40,469","10.5%","(X)","9.6%","(X)","8.3%","41,250","6.8%","(X)","8.1%","49,914","8.2%","(X)","8.8%","48,500","10.5%","26,709","7.8%","39,500","4.8%","(X)","13.1%","42,446","6.5%","(X)","5.9%","89,500","8.6%","45,855","9.5%","40,031","9.5%","(X)"
"        Male householder","28.7%","(X)","39.4%","(X)","49.6%","65,924","43.4%","73,672","48.1%","56,563","52.6%","(X)","44.6%","61,667","44.3%","(X)","53.6%","60,938","44.4%","(X)","43.1%","(X)","45.0%","(X)","49.8%","51,996","39.7%","(X)","30.4%","(X)","48.5%","44,261","53.8%","(X)","39.3%","40,758","29.7%","53,516","38.2%","(X)","65.2%","(X)","49.9%","(X)","60.4%","(X)","43.4%","56,060","58.2%","26,890","56.5%","34,053","53.4%","18,190","51.2%","34,424","59.4%","27,179","45.6%","47,087","49.3%","29,370","42.9%","33,065","68.9%","16,406","39.8%","(X)","46.9%","(X)","44.9%","33,995","42.9%","(X)","60.7%","(X)","57.1%","34,511","46.8%","(X)","45.7%","41,635","41.6%","(X)","64.7%","20,216","51.2%","23,655","52.6%","26,748","45.6%","(X)","45.3%","39,386","47.6%","(X)","46.6%","51,904","35.9%","42,560","43.9%","29,848","42.8%","(X)"
"            Living alone","12.0%","(X)","30.3%","(X)","37.7%","59,611","30.6%","68,650","37.6%","51,311","48.3%","(X)","33.6%","45,762","37.6%","(X)","42.3%","49,500","41.1%","(X)","33.9%","(X)","34.3%","(X)","39.7%","44,825","33.8%","(X)","8.7%","(X)","37.4%","30,529","40.8%","(X)","31.5%","39,917","18.7%","36,629","34.5%","(X)","56.2%","(X)","40.2%","(X)","40.3%","(X)","36.8%","50,758","30.0%","20,599","32.7%","27,179","42.9%","13,803","39.6%","31,052","45.0%","20,592","31.8%","36,875","38.3%","24,549","32.2%","26,742","58.5%","16,563","34.4%","(X)","33.6%","(X)","35.7%","30,353","30.6%","(X)","46.3%","(X)","33.3%","28,750","41.2%","(X)","34.3%","38,319","32.5%","(X)","40.6%","13,703","38.4%","21,149","39.5%","23,095","35.8%","(X)","35.3%","35,026","37.9%","(X)","36.3%","44,257","27.1%","32,705","37.2%","27,673","30.1%","(X)"
"            Not living alone","16.7%","(X)","9.0%","(X)","11.9%","86,391","12.9%","103,149","10.5%","72,338","4.4%","(X)","11.0%","202,321","6.7%","(X)","11.3%","76,771","3.3%","(X)","9.2%","(X)","10.7%","(X)","10.1%","73,210","5.8%","(X)","21.7%","(X)","11.2%","82,052","12.9%","(X)","7.8%","50,539","11.0%","103,690","3.6%","(X)","9.0%","(X)","9.7%","(X)","20.0%","(X)","6.7%","83,235","28.3%","34,632","23.9%","59,821","10.5%","55,170","11.6%","61,930","14.4%","72,438","13.8%","63,795","11.0%","64,559","10.6%","60,601","10.4%","-","5.4%","(X)","13.3%","(X)","9.1%","62,904","12.3%","(X)","14.4%","(X)","23.7%","-","5.6%","(X)","11.4%","67,761","9.1%","(X)","24.1%","73,013","12.8%","52,772","13.1%","43,360","9.8%","(X)","10.0%","62,438","9.7%","(X)","10.4%","64,167","8.9%","67,193","6.6%","45,799","12.7%","(X)"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","12.8%","(X)","14.2%","(X)","19.2%","(X)","20.1%","(X)","22.3%","(X)","24.4%","(X)","19.9%","(X)","14.9%","(X)","23.1%","(X)","27.2%","(X)","21.0%","(X)","21.2%","(X)","25.9%","(X)","23.5%","(X)","12.5%","(X)","16.4%","(X)","21.1%","(X)","30.0%","(X)","23.2%","(X)","25.8%","(X)","25.3%","(X)","31.6%","(X)","28.0%","(X)","20.3%","(X)","30.6%","(X)","23.0%","(X)","28.6%","(X)","28.7%","(X)","36.0%","(X)","23.0%","(X)","25.8%","(X)","21.3%","(X)","27.6%","(X)","36.3%","(X)","25.5%","(X)","28.2%","(X)","24.7%","(X)","21.2%","(X)","14.2%","(X)","27.5%","(X)","20.3%","(X)","19.2%","(X)","37.3%","(X)","30.5%","(X)","33.1%","(X)","23.6%","(X)","21.3%","(X)","39.4%","(X)","20.1%","(X)","37.7%","(X)","26.5%","(X)","22.8%","(X)"
"    Family income in the past 12 months","12.0%","(X)","15.6%","(X)","17.9%","(X)","20.9%","(X)","21.1%","(X)","24.5%","(X)","18.9%","(X)","17.6%","(X)","23.9%","(X)","30.0%","(X)","21.4%","(X)","21.4%","(X)","24.7%","(X)","23.0%","(X)","11.8%","(X)","15.8%","(X)","19.9%","(X)","31.0%","(X)","25.5%","(X)","30.8%","(X)","24.8%","(X)","31.4%","(X)","28.6%","(X)","19.0%","(X)","22.4%","(X)","21.6%","(X)","37.6%","(X)","30.6%","(X)","43.7%","(X)","29.9%","(X)","26.4%","(X)","20.1%","(X)","37.6%","(X)","38.1%","(X)","20.5%","(X)","30.1%","(X)","25.7%","(X)","16.3%","(X)","14.9%","(X)","28.9%","(X)","22.8%","(X)","19.0%","(X)","35.1%","(X)","33.0%","(X)","35.2%","(X)","25.6%","(X)","25.1%","(X)","42.9%","(X)","21.1%","(X)","40.7%","(X)","29.3%","(X)","23.3%","(X)"
"    Nonfamily income in the past 12 months","13.5%","(X)","11.5%","(X)","19.9%","(X)","17.7%","(X)","23.3%","(X)","22.0%","(X)","23.9%","(X)","7.8%","(X)","18.8%","(X)","17.2%","(X)","17.3%","(X)","18.7%","(X)","26.9%","(X)","22.2%","(X)","8.7%","(X)","17.6%","(X)","23.0%","(X)","25.4%","(X)","19.4%","(X)","16.4%","(X)","19.0%","(X)","31.0%","(X)","24.9%","(X)","21.9%","(X)","32.3%","(X)","23.4%","(X)","20.7%","(X)","24.1%","(X)","27.5%","(X)","16.4%","(X)","22.3%","(X)","21.6%","(X)","11.3%","(X)","32.4%","(X)","27.8%","(X)","23.8%","(X)","23.3%","(X)","21.9%","(X)","3.8%","(X)","23.2%","(X)","17.2%","(X)","19.5%","(X)","33.9%","(X)","22.5%","(X)","28.8%","(X)","20.2%","(X)","14.6%","(X)","34.5%","(X)","18.0%","(X)","31.7%","(X)","21.3%","(X)","21.2%","(X)"
